client_ip,server_ip,authentication_errors,created_at,user_acct,conn_port,l4_protocol,data_len,asset_tag
126.161.107.36,10.50.4.2,0,2026-08-13T09:51:03.430012,dsingh,3389,tcp,1927,host-6451
91.66.13.164,10.50.2.233,1,2026-08-08T00:30:34.254477,l.nguyen,22,tcp,139,host-5621
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:56.759031,,15330,udp,31,host-2467
41.166.4.197,10.50.3.17,0,2026-08-09T00:42:49.553648,k.oconnor,443,tcp,139868,host-7302
178.254.230.199,10.50.2.138,1,2026-08-08T02:21:22.007564,l.nguyen,22,tcp,144,host-5403
91.66.13.164,10.50.1.74,1,2026-08-08T00:31:28.684987,l.nguyen,22,tcp,136,host-6670
90.240.19.251,10.50.0.30,0,2026-08-13T18:56:08.253614,amartin,3389,tcp,544,host-8172
117.205.56.10,10.50.5.113,0,2026-08-14T16:45:38.847844,wchen,22,tcp,946,host-7585
45.218.127.209,10.50.5.218,0,2026-08-12T18:45:57.534379,n.dubois,443,tcp,1131,host-3822
91.66.13.164,10.50.2.111,1,2026-08-08T00:32:38.797211,l.nguyen,22,tcp,84,host-3329
126.17.115.130,10.50.0.64,0,2026-08-08T08:52:07.038180,dsingh,3389,tcp,1892,host-4711
91.66.13.164,10.50.2.21,1,2026-08-08T00:31:43.657122,l.nguyen,22,tcp,188,host-1299
202.110.74.219,10.50.1.192,0,2026-08-10T12:54:23.979675,n.dubois,80,tcp,3113,host-9777
121.149.131.127,10.50.0.218,1,2026-08-08T05:54:55.210703,user8472,22,tcp,189,host-2087
142.13.176.102,10.50.2.64,0,2026-08-08T17:39:21.225110,rpatel,443,tcp,1852,host-8343
142.175.136.132,10.50.4.141,0,2026-08-09T13:09:18.436333,jsmith,3389,tcp,1925,host-1791
91.66.13.164,10.50.2.103,1,2026-08-08T00:32:15.930067,l.nguyen,22,tcp,158,host-7319
142.183.117.82,10.50.2.24,0,2026-08-12T15:37:02.136399,n.dubois,22,tcp,933,host-8506
80.118.233.216,10.50.2.68,0,2026-08-10T12:14:41.106935,mgarcia,3389,tcp,2355,host-8411
41.166.4.197,10.50.3.17,0,2026-08-09T00:50:14.766613,mgarcia,443,tcp,140809,host-9419
81.154.33.59,10.50.5.166,0,2026-08-13T13:31:46.537263,mgarcia,443,tcp,731,host-8829
90.133.194.198,10.50.0.147,0,2026-08-09T16:04:58.839102,k.oconnor,3389,tcp,2901,host-2592
41.105.218.211,10.50.2.84,0,2026-08-08T13:30:02.338684,,43068,udp,3,host-3515
64.110.174.247,10.50.4.208,0,2026-08-14T17:57:23.955548,k.oconnor,443,tcp,2952,host-9169
202.197.227.118,10.50.5.209,0,2026-08-11T08:14:35.374571,e.rossi,80,tcp,3136,host-4179
64.149.100.22,10.50.2.201,0,2026-08-08T10:16:00.642179,amartin,80,tcp,2051,host-2456
103.79.182.92,10.50.3.81,0,2026-08-09T18:07:54.868572,wchen,22,tcp,1500,host-7431
121.149.131.127,10.50.5.227,1,2026-08-08T05:53:49.691376,user8045,22,tcp,204,host-2701
117.197.82.91,10.50.3.224,0,2026-08-08T08:42:56.231945,rpatel,3389,tcp,2681,host-4135
178.254.230.199,10.50.5.142,1,2026-08-08T02:20:57.373012,l.nguyen,22,tcp,130,host-6256
133.242.179.173,10.50.3.229,0,2026-08-12T10:10:01.339176,mgarcia,3389,tcp,1396,host-1296
121.149.131.127,10.50.1.17,1,2026-08-08T05:54:52.845512,user1573,22,tcp,234,host-5120
80.50.79.32,10.50.1.20,0,2026-08-10T11:50:08.422949,priya.n,3389,tcp,1207,host-5605
114.239.49.189,10.50.0.168,0,2026-08-08T12:02:57.754033,,15329,tcp,16,host-9780
133.105.51.214,10.50.4.103,0,2026-08-10T17:01:45.003708,l.nguyen,80,tcp,2992,host-5146
